Ref No.;Full citation (APA);Person working on it;Abs Justification; Include/Exclude Abstract; Include/Exclude Full;Full txt Justification;Habitat;Habitat_old;Species (Genus);Species (Latin name, first letter capital, e.g. Zostera marina);Focus;Setting;Type of Data;Region according to HELCOM;Latitude;Longitude;Notes (Region);Time scale;Start Year;End Year;Duration;Pressures;Pressures2;Details on Pressures;Effect of Pressures;Effect direction of Pressures;Type of Ecosystem Service;Specify Service;Service details;Describe Service;Are ES Monetary?;Type of Non-Monetary Value;Type of Monetary Value;Monetary Method used;Specific Method (Non-Monetary and Monetary);Specific Unit (Non-Monetary and Monetary);NOTES;Economic Scoring System;Type of Effect on Economy;Natural Scoring System;Type of Effect on Nature;Human Scoring System;Type of Effect on Human;Social Scoring System;Type of Effect on Society;Interaction with other ES;NOTES;Language of Literature;Quality Assessment (0 (bad) - 5 (good));Criterion Used;Value of Criterion;Number of Replicates;NOTES
1633;Gustafsson, C., & Bostr”m, C. (2009). Effects of plant species richness and composition on epifaunal colonization in brackish water angiosperm communities. Journal of Experimental Marine Biology and Ecology, 382(1), 8?17. https://doi.org/10.1016/j.jembe.2009.10.013;Reviewer 3;macroalgae as habitats, supporting?;Include;Include;plant diversity influences ecosystem processes and higher trophic levels;Seagrass;Seagrass;Zostera;Zostera marina;how plant richness and composition influence recruitment and colonization processes;Field;Experimental & Observational;Western Gotland Basin;59,9775;21,98083;F†r” Island;Present;2007;2007;1;None;None;;;;Supporting;Provisioning habitat;Habitat;on a species level the epifaunal abundance and biomass were controlled by plant composition and not richness;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;4;P-Value;< 0.05;5;
1665;Saarinen, A., Salovius-Laur‚n, S., & Mattila, J. (2018). Epifaunal community composition in five macroalgal species ? What are the consequences if some algal species are lost? Estuarine, Coastal and Shelf Science, 207, 402?413. https://doi.org/10.1016/j.ecss.2017.08.009;Reviewer 3;"Macroalgae and energy flows, regulating, supporting; don't know if include later";Include;Include;What kind of epifauan species are connected with different algae species;Macroalgae;Macroalgae;Pylaiella;Pylaiella littoralis;compare the epifaunal composition of ephemeral, perennial, canopy-forming, filamentous macroalgal species;Field;Observational;Aland Sea;;;;Present;2014;2014;1;None;None;;;;Supporting;Provisioning habitat;Habitat;epifaunal composition dominated by Pylaiella littoralis (Chironomidae, deposit feeder);Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;3;;;14;
1665;Saarinen, A., Salovius-Laur‚n, S., & Mattila, J. (2018). Epifaunal community composition in five macroalgal species ? What are the consequences if some algal species are lost? Estuarine, Coastal and Shelf Science, 207, 402?413. https://doi.org/10.1016/j.ecss.2017.08.009;Reviewer 3;"Macroalgae and energy flows, regulating, supporting; don't know if include later";Include;Include;What kind of epifauan species are connected with different algae species;Macroalgae;Macroalgae;Furcellaria;Furcellaria lumbricalis;compare the epifaunal composition of ephemeral, perennial, canopy-forming, filamentous macroalgal species;Field;Observational;Aland Sea;;;;Present;2014;2014;1;None;None;;;;Supporting;Provisioning habitat;Habitat;epifaunal composition dominated  by Furcellaria lumbricalis (Mytilus trossulus, suspension feeder).;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;3;;;12;
1665;Saarinen, A., Salovius-Laur‚n, S., & Mattila, J. (2018). Epifaunal community composition in five macroalgal species ? What are the consequences if some algal species are lost? Estuarine, Coastal and Shelf Science, 207, 402?413. https://doi.org/10.1016/j.ecss.2017.08.009;Reviewer 3;"Macroalgae and energy flows, regulating, supporting; don't know if include later";Include;Include;What kind of epifauan species are connected with different algae species;Macroalgae;Macroalgae;Fucus;Fucus vesiculosus;compare the epifaunal composition of ephemeral, perennial, canopy-forming, filamentous macroalgal species;Field;Observational;Aland Sea;;;;Present;2014;2014;1;None;None;;;;Supporting;Provisioning habitat;Habitat;hosted  lowest abundance of epifauna per algal dry weight;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;3;R-squared;;14;
1665;Saarinen, A., Salovius-Laur‚n, S., & Mattila, J. (2018). Epifaunal community composition in five macroalgal species ? What are the consequences if some algal species are lost? Estuarine, Coastal and Shelf Science, 207, 402?413. https://doi.org/10.1016/j.ecss.2017.08.009;Reviewer 3;"Macroalgae and energy flows, regulating, supporting; don't know if include later";Include;Include;What kind of epifauan species are connected with different algae species;Macroalgae;Macroalgae;Cladophora;Cladophora rupestris;compare the epifaunal composition of ephemeral, perennial, canopy-forming, filamentous macroalgal species;Field;Observational;Aland Sea;;;;Present;2014;2014;1;None;None;;;;Supporting;Provisioning habitat;Habitat;epifaunal composition dominated  by Cladophora rupestris (Gammarus spp., herbivorous/omnivorous);Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;3;;;9;
1665;Saarinen, A., Salovius-Laur‚n, S., & Mattila, J. (2018). Epifaunal community composition in five macroalgal species ? What are the consequences if some algal species are lost? Estuarine, Coastal and Shelf Science, 207, 402?413. https://doi.org/10.1016/j.ecss.2017.08.009;Reviewer 3;"Macroalgae and energy flows, regulating, supporting; don't know if include later";Include;Include;What kind of epifauan species are connected with different algae species;Macroalgae;Macroalgae;Ceramium;Ceramium tenuicorne;compare the epifaunal composition of ephemeral, perennial, canopy-forming, filamentous macroalgal species;Field;Observational;Aland Sea;;;;Present;2014;2014;1;None;None;;;;Supporting;Provisioning habitat;Habitat;hosted highest abundance of epifauna per algal dry weight;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;3;P-Value;< 0.05;10;
1691;Jankowska, E., Jankowska, K., & W?odarska-Kowalczuk, M. (2015). Seagrass vegetation and meiofauna enhance the bacterial abundance in the Baltic Sea sediments (Puck Bay). Environmental Science and Pollution Research, 22(18), 14372?14378. https://doi.org/10.1007/s11356-015-5049-7;Reviewer 3;Zostera as habitat, supporting, regualting;Include;Include;providing habitat and increasind biodiversity;Seagrass;Seagrass;Zostera;Zostera marina;Total bacterial cell numbers and bacteria biomass assessed and compared between bare and vegetated (Z. Marina) sediments ;Field;Observational;Gdansk Basin;;;Puck Bay;Present;2011;2011;1;None;None;;;;Supporting;Provisioning habitat;Habitat / Microbiome;Increase of bacteria abundance and biomass ;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;4;P-Value;< 0.05;5;Spearman correlation matrix: Redundant variables with correlations R>0.9 were omitted from the model
1704;Jaschinski, S., Brepohl, D., & Sommer, U. (2008). Carbon sources and trophic structure in an eelgrass Zostera marina bed, based on stable isotope and fatty acid analyses. Marine Ecology Progress Series, 358, 103?114. https://doi.org/10.3354/meps07327;Reviewer 3;food web dynamics in an eelgrass Zostera marina L. System, supporting;Include;Include;the relevance of epiphytes and sediment-associated microalgae in an eelgrass community ;Seagrass;Seagrass;Zostera;Zostera marina;the relevance of epiphytes and sediment-associated microalgae in an eelgrass community ;Field;Observational;Kiel Bay;54,35;10,15;Falkenstein Beach;Present;2002;2002;1;None;None;;;;Supporting;Provisioning habitat;Habitat;habitat provider to many other species ;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;3;P-Value;< 0.05;NA;
1719;Forslund, H., Eriksson, O., & Kautsky, L. (2012). Grazing and geographic range of the Baltic seaweedFucus radicans(Phaeophyceae). Marine Biology Research, 8(4), 322?330. https://doi.org/10.1080/17451000.2011.637565;Reviewer 3;Fucus radicans and F vesiculosus as habitat providers, supporting;Include;Include;abundance of F. radicans and F. vesiculosus and associated herbivores;Macroalgae;Macroalgae;Fucus;Fucus vesiculosus;recording the abundance of the associated fauna at the studied sites;Field;Observational;Bothnian Sea;;;;Present;2007;2009;3;None;None;;;;Supporting;Provisioning habitat;Habitat;;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;3;P-Value;< 0.05;3;ANOVA
1719;Forslund, H., Eriksson, O., & Kautsky, L. (2012). Grazing and geographic range of the Baltic seaweedFucus radicans(Phaeophyceae). Marine Biology Research, 8(4), 322?330. https://doi.org/10.1080/17451000.2011.637565;Reviewer 3;Fucus radicans and F vesiculosus as habitat providers, supporting;Include;Include;abundance of F. radicans and F. vesiculosus and associated herbivores;Macroalgae;Macroalgae;Fucus;Fucus radicans;recording the abundance of the associated fauna at the studied sites;Field;Observational;The Quark;;;;Present;2007;2009;3;None;None;;;;Supporting;Provisioning habitat;Habitat;;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;3;R-squared;0,8;3;Spearman?s rank correlation
1724;Gagnon, K., & Bostr”m, C. (2016). Habitat expansion of the Harris mud crab Rhithropanopeus harrisii (Gould, 1841) in the northern Baltic Sea: potential consequences for the eelgrass food web. BioInvasions Records, 5(2), 101?106. https://doi.org/10.3391/bir.2016.5.2.07;Reviewer 3;mudcrab in zostera community, regulating, supporting;Include;Include;continuous use of Fucus as habitat for mud crab;Macroalgae;Macroalgae;Fucus;Fucus vesiculosus;mudcrab presence in habitat;Field;Observational;Aland Sea;60,10861;21,7125;Žngs”;Present;2015;2015;1;None;None;;;;Supporting;Provisioning habitat;Habitat;provide habitat to the mudcrab;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;2;None;;NA;
1724;Gagnon, K., & Bostr”m, C. (2016). Habitat expansion of the Harris mud crab Rhithropanopeus harrisii (Gould, 1841) in the northern Baltic Sea: potential consequences for the eelgrass food web. BioInvasions Records, 5(2), 101?106. https://doi.org/10.3391/bir.2016.5.2.07;Reviewer 3;mudcrab in zostera community, regulating, supporting;Include;Include;continuous use of eelgrass as habitat for mud crabs;Seagrass;Seagrass;Zostera;Zostera marina;mudcrab presence in habitat;Field;Observational;Aland Sea;60,10861;21,7125;Žngs”;Present;2015;2015;1;None;None;;;;Supporting;Provisioning habitat;Habitat;provide habitat to the mudcrab;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;2;None;;NA;
1799;Koivisto, M., Westerbom, M., & Arnkil, A. (2011). Quality or quantity: small-scale patch structure affects patterns of biodiversity in a sublittoral blue mussel community. Aquatic Biology, 12(3), 261?270. https://doi.org/10.3354/ab00339;Reviewer 3;Mytilus supports high diversity, supporting;Include;Include;Mytilus patches supports higher fauna diversity;Mussel beds;Mussel beds;Mytilus;Mytilus edulis;if mussel patches sizes and shape influence the diversity of fauna;Field;Observational;Gulf of Finland;59,8;23,2;Hanko-Tv„rminne area;Present;2008;2009;2;None;None;;;;Supporting;Provisioning habitat;Habitat;Mussels beds increase species richness;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;4;P-Value;? 0.05;10;
1799;Koivisto, M., Westerbom, M., & Arnkil, A. (2011). Quality or quantity: small-scale patch structure affects patterns of biodiversity in a sublittoral blue mussel community. Aquatic Biology, 12(3), 261?270. https://doi.org/10.3354/ab00339;Reviewer 3;Mytilus supports high diversity, supporting;Include;Include;Mytilus patches supports higher fauna diversity;Mussel beds;Mussel beds;Mytilus;Mytilus edulis;if mussel patches sizes and shape influence the diversity of fauna;Field;Observational;Gulf of Finland;59,8;23,2;Hanko-Tv„rminne area;Present;2008;2009;2;None;None;;;;Supporting;Provisioning habitat;Habitat;Mussels beds increase species richness;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;;;english;4;R-squared;0,83;15;
1800;Jankowska, E., Michel, L. N., Lepoint, G., & W?odarska-Kowalczuk, M. (2019). Stabilizing effects of seagrass meadows on coastal water benthic food webs. Journal of Experimental Marine Biology and Ecology, 510, 54?63. https://doi.org/10.1016/j.jembe.2018.10.004;Reviewer 3;Zostera as stable habitat, supporting;Include;Include;"Zostera meadows create a stable habitat; support biodiversity";Seagrass;Seagrass;Zostera;Zostera marina;whether seasonal changes in the density of recovering seagrass meadows affect the benthic food webs ;Field;Experimental & Observational;Gdansk Basin;;;Puck Bay;Present;2014;2015;2;None;None;;;;Supporting;Provisioning habitat;Habitat;Habitat for others, supports diversity;Does not apply;Does not apply;Does not apply;Does not apply;;;;0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;cultural;Diverse habitats can be highly valued diving areas;english;4;P-Value;< 0.05;3;carbon and nitrogen stable isotopes differed significantly among sources but not between seasons
1861;Nielsen, K., S›mod, B., Ellegaard, C., & Krause-Jensen, D. (2003). Assessing Reference Conditions According to the European Water Framework Directive Using Modelling and Analysis of Historical Data: An Example from Randers Fjord, Denmark. AMBIO: A Journal of the Human Environment, 32(4), 287?294. https://doi.org/10.1579/0044-7447-32.4.287;Reviewer 4;modeling, very generel about eutrophication effects, eelgrass;Include;Include;"ecosystem services of macrophytes towards the water quality and habitat building for other animals; eutrophycation is related to the biodiversity";Seagrass;Seagrass;Zostera;Zostera marina;Focus is on the water quality in relation tho chloroplasts and makrophytes;Computational;Modelling;Kattegat;;;Randers Fjord;Future;1990;future;NA;Nutrients;Nutrients;"Future scenario""water action plan"" , where a lower nutrition input is estimated and so it is more realistic than the pristine conditions ; different areas from the inner part to the outer part of the Fjord are calculated ";"the phosphor, nitrogen and chlorophyll a concentration is decreasing from the inner to the outer part of the Rander Fjord, in contrast to that the Secchi depth and the related eelgrass depth limit is increasing towards the outer area of the Fjord, reduction of the species richness;  the future model is showing a less dramatically difference between inner and outer parts of the Fjord";negative;Supporting;Provisioning habitat;Habitat;;Does not apply;Does not apply;Does not apply;Does not apply;;;"Scenario: Action plan ; water quality and components, abundance of eelgrass";0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;No;;english;3;OTHER (make notes);ln(Zc) = ?0.755 ln(TN) + 6.039;4 different areas, not sure about the samples;empirical for eelgrass depth
1861;Nielsen, K., S›mod, B., Ellegaard, C., & Krause-Jensen, D. (2003). Assessing Reference Conditions According to the European Water Framework Directive Using Modelling and Analysis of Historical Data: An Example from Randers Fjord, Denmark. AMBIO: A Journal of the Human Environment, 32(4), 287?294. https://doi.org/10.1579/0044-7447-32.4.287;Reviewer 4;modeling, very generel about eutrophication effects, eelgrass;Include;Include;ecosystem services of macrophytes towards the water quality and habitat building for other animals, eutrophication is related to the biodiversity;Seagrass;Seagrass;Zostera;Zostera marina;Focus is on the water quality in relation tho chloroplasts and makrophytes;Computational;Modelling;Kattegat;;;Randers Fjord;Past;1915;1990;76;Nutrients;Nutrients;"Past scenario: about the pristine conditions relating to the nitrogen and phosphorus concentration input and the abundance of eelgrass, comparision to the present status in 1990 (models: ""The delution model"", ""The Grey Box model"" and ""The MIKE 12 model"" with different complexity) ; different areas from the inner part to the outer part of the Fjord are calculated ";the phosphor, nitrogen and chlorophyll a concentration is decreasing from the inner to the outer part of the Rander Fjord, in contrast to that the Secchi depth and the related eelgrass depth limit is increasing towards the outer area of the Fjord, reduction of the species richness;negative;Supporting;Provisioning habitat;Habitat;;Does not apply;Does not apply;Does not apply;Does not apply;;;"Scenario: Pristine conditions ; water quality and components, abundance of eelgrass, the delution model, The Grey Box model and The MIKE 12 model";0;Does not apply;4;Direct;0;Does not apply;0;Does not apply;No;;english;3;OTHER (make notes);ln(Zc) = ?0.755 ln(TN) + 6.039;4 different areas, not sure about the samples;empirical for eelgrass depth
